 ,Label,Area,Mean,Min,Max,X,Y,Ch,Frame
1,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,51.006,82.806,11,197,324.178,589.497,1,1
2,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,62.840,20.664,0,65,347.614,349.641,1,1
3,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,47.612,31.694,5,95,50.502,459.270,1,1
4,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,95.591,99.653,5,221,248.051,65.675,1,1
5,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,58.162,69.591,0,143,269.835,243.250,1,1
6,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,38.438,14.086,0,47,600.638,375.586,1,1
7,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,71.372,27.535,5,71,340.908,388.262,1,1
8,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,37.612,23.678,0,65,239.716,73.327,1,1
9,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,51.281,12.392,0,35,219.857,459.523,1,1
10,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,74.399,93.587,29,185,464.685,375.784,1,1
11,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,45.135,37.220,5,83,599.643,15.184,1,1
12,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,66.143,80.978,17,149,191.769,74.156,1,1
13,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,63.116,18.709,0,65,403.325,604.641,1,1
14,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,66.602,116.074,11,251,71.528,74.410,1,1
15,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,90.637,150.356,35,255,566.369,13.471,1,1
16,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,35.136,7.715,0,47,335.881,224.149,1,1
17,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,41.374,38.044,0,113,448.741,143.086,1,1
18,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,39.447,29.414,0,77,336.384,511.888,1,1
19,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,48.988,22.850,0,95,442.728,471.872,1,1
20,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,42.475,14.778,0,59,202.406,296.395,1,1
21,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,69.445,64.931,0,143,435.296,173.290,1,1
22,FRET_Rec.tif:Positive:c:1/6 - Sequence 001/T0_FRET015,48.346,58.442,5,125,114.440,299.465,1,1
23,FRET_Rec.tif:Other:c:1/6 - Sequence 001/T0_FRET015,35.044,18.092,0,59,179.819,261.039,1,1
